concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
1,64,64,0,4.181680441019125,64.0,15.304851937562795,15.304851937562795,65.21956192136713,57.68938999972306,105.55650678579696,117.83202423714101,[1]
2,64,64,0,3.805195126973558,64.0,16.81911120571156,16.81911120571156,118.61328671784577,96.67885350063443,197.18787340389073,545.2287133317441,[2]
8,64,64,0,1.5932893230346963,64.0,40.16847353128613,40.16847353128613,197.81714226792246,139.90124000702053,605.877308579511,608.9157300628722,[8]
32,64,64,0,0.83729121403303,64.0,76.43696592936575,76.43696592936575,358.26049403294746,326.9795390078798,499.9515394505579,504.0614249726059,"[8, 24]"
64,64,64,0,0.6302006260375492,64.0,101.55496100092209,101.55496100092209,470.4818829541182,418.88405350618996,599.3022486887639,601.5271681791637,"[4, 28, 32]"
128,128,128,0,2.571861409000121,128.0,49.7694003075241,49.7694003075241,1513.6459910454505,1668.7367550039198,2487.065810605418,2534.0354530425975,"[2, 17, 28, 32]"
256,256,256,0,5.382315524970181,256.0,47.56317217233716,47.56317217233716,3448.768145665781,3827.516106015537,5000.513870239956,5137.634153084946,"[1, 3, 7, 8, 9, 11, 12, 20, 24, 28, 32]"
512,512,512,0,7.526053307985421,512.0,68.03034459731359,68.03034459731359,4789.728692546305,5330.517491500359,7086.493671609787,7252.294294073945,"[1, 2, 5, 6, 8, 9, 10, 11, 13, 15, 17, 19, 23, 26, 32]"
