concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,64,64,0,5.116369597031735,64.0,12.50886957758674,12.50886957758674,79.8009117033871,79.16099301655777,101.08010886469856,144.77054664923338,[1],1,52.17974999686703
2,64,64,0,2.8142782779759727,64.0,22.741176841271276,22.741176841271276,87.12752061001083,85.93753699096851,104.66706457955297,134.10691855882754,"[1, 2]",2,57.58360703475773
8,64,64,0,1.2033203540486284,64.0,53.186169239694955,53.186169239694955,141.9277767645326,139.5205500011798,223.9186763850739,229.17065704183187,"[1, 3, 5, 7]",8,72.17317802133039
32,64,64,0,0.6298156580305658,64.0,101.61703537210882,101.61703537210882,290.6382942801429,283.903052972164,351.8597030022647,356.78070793394,"[1, 2, 29, 30]",32,140.603621955961
64,64,64,0,0.5322258549858816,64.0,120.24970113805864,120.24970113805864,461.9739938298153,473.7470769905485,514.5677239022916,522.6977168465964,"[3, 61]",64,201.4855479937978
128,128,128,0,1.1413051419658586,128.0,112.15230291482295,112.15230291482295,829.9035379054658,901.0579349705949,1055.666140152607,1084.5118185860338,"[1, 18, 21, 24, 64]",128,1169.252385967411
256,256,256,0,2.2574308050097898,256.0,113.40325445717917,113.40325445717917,1251.1661630467188,1181.1176329792943,1799.5568957558135,2072.249924519565,"[1, 3, 28, 32, 64]",256,4360.284809023142
512,512,512,0,5.009913642948959,512.0,102.19737035200154,102.19737035200154,2196.217365008579,1886.0694809700362,4265.678837176529,4571.591424937942,"[2, 7, 23, 32, 64]",256,4974.462452984881
