concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,64,64,0,4.196534823975526,64.0,15.250677686351365,15.250677686351365,65.39412739130057,64.97426852001809,79.02505598613061,86.10594057070557,[1],1,54.82760799350217
2,64,64,0,2.246417352987919,64.0,28.48980841199199,28.48980841199199,69.60203536073095,61.17220351006836,119.8446422553388,150.98805379064285,"[1, 2]",2,58.08269995031878
8,64,64,0,1.0412501769606024,64.0,61.46457538841941,61.46457538841941,123.18800646517047,116.50230098166503,239.1662993963109,243.04347332159523,"[2, 3, 4, 5, 6]",8,72.74566701380536
32,64,64,0,0.5072477970388718,64.0,126.17107530798306,126.17107530798306,221.68688125566405,231.82709701359272,268.54532521392684,275.5290567531483,"[2, 6, 24, 30]",32,130.41345996316522
64,64,64,0,0.510343489004299,64.0,125.40573433172746,125.40573433172746,363.5184969098191,371.5427759743761,482.98849865968805,489.8547927173786,"[2, 14, 18, 30]",64,208.60639098100364
128,128,128,0,1.287868871993851,128.0,99.38900052909358,99.38900052909358,791.1394501365976,822.0898029976524,1199.6647690655664,1238.4264176047873,"[2, 3, 4, 5, 6, 7, 8, 10, 18]",128,1092.500625003595
256,256,256,0,1.7196969150099903,256.0,148.86344085725872,148.86344085725872,919.0095571882466,885.2525214897469,1391.9907780218637,1621.975983271841,"[2, 13, 17, 32]",256,2306.1116869794205
512,512,512,0,4.096135132014751,512.0,124.99587623423068,124.99587623423068,2276.7597921113065,2277.5755950133316,3795.507006626576,3938.5426587465913,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 14, 15, 24, 32]",512,6671.19276302401
