concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,64,64,0,8.43240681901807,64.0,7.5897666435705275,7.5897666435705275,131.59266281218152,131.57825800590217,146.20260515075643,148.13148798129987,[1],1,54.21892803860828
2,64,64,0,4.4773736170027405,64.0,14.29409414415657,14.29409414415657,139.51900778374693,137.394507532008,159.9736180738546,162.53493096970485,[2],2,58.9019909966737
8,64,64,0,1.163422041980084,64.0,55.01013191315794,55.01013191315794,142.89242781069333,140.1014610310085,172.01406749954907,176.26683090173174,[8],8,73.00504995509982
32,64,64,0,0.7247291770181619,64.0,88.30884974622202,88.30884974622202,303.2077208299597,303.8838369830046,400.5277906893752,408.3439580583945,"[8, 9, 23, 24]",32,133.78655503038317
64,64,64,0,0.6173420550185256,64.0,103.67024161034914,103.67024161034914,497.94704265787004,523.6365234886762,592.2244540066458,599.0727360744495,"[13, 51]",64,231.25869303476065
128,128,128,0,1.4401942170225084,128.0,88.87690180052954,88.87690180052954,1069.8791557406366,1183.6318270070478,1354.5012862276053,1391.6343465121463,"[1, 9, 22, 32, 64]",128,1170.0461629661731
256,256,256,0,2.2175177349708974,256.0,115.44439801441305,115.44439801441305,1239.8764002593907,1175.4987690073904,1778.938069488504,1927.5289706652982,"[7, 57, 64]",256,4419.501627970021
512,512,512,0,5.865312916983385,512.0,87.29287034583808,87.29287034583808,2730.8924323997417,2512.872020015493,5017.265190809849,5341.183002521866,"[11, 55, 62, 64]",256,5242.458474007435
