concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
64,64,64,0,0.8462372489739209,281.0350625,332.09961253863554,75.62890912400894,635.5617763902046,700.9275479940698,800.4189964791294,822.5165241066134,"[1, 13, 18, 32]"
128,128,128,0,1.330268491001334,597.5315625,449.18117398256913,96.22117705249897,852.7648398512611,868.9215614867862,1149.452162758098,1188.7017459224444,"[1, 9, 20, 22, 24, 32]"
256,256,255,1,5.740221287996974,1106.4786875,192.7588906395804,44.42337450181841,3471.0894434356733,3617.952154017985,5219.605429697549,5404.489123749081,"[1, 2, 3, 4, 5, 6, 9, 11, 14, 21, 26, 32]"
