concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,32,32,0,4.047217951039784,133.3900625,32.958457911991204,7.906665859637922,126.32062159354973,129.60427498910576,177.25350258115213,186.5829286549706,[1],1,54.667413991410285
2,32,32,0,2.682864255970344,154.020125,57.4088400698058,11.927550910855224,165.9784345265507,158.53624950977974,245.39045962155797,367.0559066446733,[1],2,57.063699001446366
8,32,32,0,1.1042984660016373,107.654,97.48632576642589,28.977673142898812,250.51332824659767,191.86237998655997,502.13662405731156,525.5395065282937,"[1, 2, 3, 5, 6, 7]",8,72.73870200151578
32,32,32,0,0.8548362940200604,140.377,164.21506782292258,37.434068047710966,569.9979202181567,727.9519625008106,797.8483470942592,840.0468803150579,"[2, 3, 10, 17]",32,126.14504899829626
64,64,64,0,0.8946439549908973,281.0350625,314.13062250318274,71.53683836230825,767.2174781573631,765.137884503929,857.1382727852324,864.0899893274764,"[2, 30, 32]",64,251.173899974674
128,128,128,0,1.40991699998267,597.5315625,423.8061974622226,90.78548595525362,1063.2872072014834,1095.4268825007603,1295.0206042645732,1338.7053039571038,"[1, 22, 51, 54]",128,1166.3654610165395
256,256,256,0,2.0250090160407126,1115.4776875,550.8507264234192,126.41919022194277,1247.8812568085687,1182.0889069931582,1847.5231815245934,1926.078211478307,"[4, 60, 64]",256,4941.713473002892
