concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,64,64,0,2.244859357000678,64.0,28.509581146103255,28.509581146103255,35.04029542199305,34.98147699974652,47.232937300395825,48.28409538053165,[1],1,0.915671998882317
2,64,64,0,2.196609503000218,64.0,29.13581130946862,29.13581130946862,68.52367729692332,43.227306000517274,72.6561529006176,823.2881988598456,[2],2,1.6764049996709218
8,64,64,0,1.6860468680006306,64.0,37.95861266649918,37.95861266649918,210.0199495781112,67.39056949936639,1219.7496193005463,1220.2435215806872,[8],8,5.097180999655393
32,64,64,0,1.3867453729999397,64.0,46.151226639068646,46.151226639068646,652.3530926094168,654.3352130001949,1168.3609213503587,1170.0443433608052,"[6, 8, 18, 32]",32,20.379513000079896
64,64,64,0,1.371076436000294,64.0,46.678652130220314,46.678652130220314,1279.2658064530826,1246.8674865003777,1356.7583578002086,1361.9365891504276,"[6, 26, 32]",64,112.64657300125691
128,128,128,0,1.6584490530003677,128.0,77.1805439355704,77.1805439355704,1408.4378628046466,1420.993605500371,1582.7903805999085,1595.014801060006,"[3, 11, 18, 32]",128,456.2311919999047
256,256,256,0,3.7837997319984424,256.0,67.65685769124775,67.65685769124775,2622.1567391562103,3132.6894680005353,3566.263612250168,3632.890300749841,"[1, 3, 4, 5, 6, 8, 9, 12, 32]",256,2471.0534829991957
512,512,512,0,7.760774813001262,512.0,65.97279425531977,65.97279425531977,1950.642126306679,1429.1295105003883,5849.603060700156,6902.4615553500735,"[1, 2, 3, 4, 5, 10, 11, 18, 32]",512,4977.714072998424
