concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
64,64,64,0,0.8801688780076802,281.0350625,319.29675034198124,72.7133185450367,681.702436654632,747.3828805086669,841.179103704053,853.3854072005488,"[1, 13, 18, 32]"
128,128,128,0,1.2882912349887192,597.5315625,463.8171449681812,99.35641609881854,883.6675961415494,921.2842870038003,1145.4420144291362,1176.3291947270045,"[1, 6, 16, 17, 19, 20, 32]"
256,256,256,0,5.827395543048624,1115.4776875,191.4195937549888,43.93043137519246,3382.6993806444534,3471.936161018675,5324.78206975793,5507.337820203974,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 32]"
