concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
64,64,64,0,0.5311273960396647,64.0,120.49839732842638,120.49839732842638,485.94352250165684,492.6276214828249,518.7887496664189,523.761847493588,"[2, 30, 32]"
128,128,128,0,1.1774269519955851,128.0,108.71162731841385,108.71162731841385,795.7722628434567,799.513592995936,1063.5601824818878,1106.6357003943995,"[1, 17, 22, 24, 32]"
256,256,256,0,5.230105861963239,256.0,48.947384002645144,48.947384002645144,3017.5240389644387,3019.585425470723,4925.169785215985,5116.528267628745,"[1, 2, 3, 4, 5, 7, 8, 22, 25]"
512,512,512,0,7.069117918028496,512.0,72.4277068139205,72.4277068139205,3159.2492469962963,2675.013543019304,6466.166848712601,6936.48824871983,"[2, 6, 24, 32, 64]"
