concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
1,32,32,0,3.9504790770006366,133.3900625,33.76554081164129,8.100283377350701,123.30353850484244,118.50501052686013,178.66157728421967,192.21523188170977,[1]
2,32,32,0,2.710682058997918,154.020125,56.819693954420465,11.805146934801245,167.80534931240254,167.85784045350738,239.33067531907,374.59007882396713,[1]
8,32,32,0,1.0101960049942136,107.654,106.56743787124424,31.677020936331356,228.98643841108424,183.44754350255243,502.3484907404054,510.10786705010105,"[1, 2, 6, 7]"
32,32,32,0,0.7361468109884299,140.377,190.69158203852672,43.46958992735886,478.8515942491358,444.02287650154904,672.3449968354544,721.474274857319,"[1, 8, 11, 12]"
64,64,64,0,0.8376213949522935,281.0350625,335.5156210115744,76.40683533835129,676.1586147686103,673.6777220212389,780.8110391662922,787.6301163370954,"[2, 30, 32]"
128,128,128,0,1.783581300987862,597.5315625,335.01784424912313,71.7657221059143,1141.2105494737261,1133.4582769777626,1603.4797819593223,1622.892563987989,"[1, 13, 18, 32]"
256,256,256,0,6.019689770997502,1115.4776875,185.30484625209482,42.5271084954232,3685.0473046811203,4001.1600270227063,5431.589468251332,5643.237784542725,"[1, 3, 4, 5, 6, 7, 8, 9, 11, 13, 32]"
