concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,64,64,0,5.097119687998202,64.0,12.556110885662722,12.556110885662722,79.49119804561633,78.92653049202636,94.23976573452819,96.5359394432744,[1],1,52.6879690005444
2,64,64,0,3.031001862953417,64.0,21.11513053892953,21.11513053892953,93.75813736005512,92.9753634845838,110.59274318104143,134.80803017446306,"[1, 2]",2,56.492141040507704
8,64,64,0,1.248808951000683,64.0,51.24883189595668,51.24883189595668,151.77289147050033,154.297195491381,254.61253032553938,260.5569883075077,"[1, 2, 3, 5, 6, 7]",8,73.28359800158069
32,64,64,0,0.6529656689963304,64.0,98.01434139466171,98.01434139466171,297.6914473438228,277.2784289845731,386.37246885336936,388.6075788846938,"[2, 3, 27, 30]",32,144.69935098895803
64,64,64,0,0.5721944099641405,64.0,111.85009655024572,111.85009655024572,499.9785180334584,507.6543294999283,553.6334164527943,563.9995405025547,"[2, 62]",64,211.5609580068849
128,128,128,0,1.1336886219796725,128.0,112.90578163912727,112.90578163912727,804.2643887447412,796.5409955068026,1065.1782970235215,1093.4903128573205,"[2, 15, 21, 32, 58]",128,1192.6273630233482
256,256,256,0,2.133718182973098,256.0,119.97835611228311,119.97835611228311,1192.2051843471309,1109.8392244894058,1844.4297990354244,2015.119194900035,"[1, 14, 49, 64]",256,4506.555835949257
512,512,512,0,5.356182838033419,512.0,95.59046348537018,95.59046348537018,2497.238038799651,2200.982311507687,4603.727840026841,4939.972730710869,"[2, 13, 21, 28, 64]",256,4968.395709001925
