concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,32,32,0,9.096815627999604,362.02,39.796343556278984,3.5177144737885406,284.2246459062494,253.9819204998821,415.7241397499547,510.4869798702113,[1],1,1.1116040004708339
2,32,32,0,7.36573444700025,335.8,45.58947955784057,4.344441172873431,460.20913900002824,419.0169964999768,660.6046761501601,749.3732378701952,[2],2,2.1559430006163893
8,32,32,0,2.339093038000101,354.48,151.54591725991222,13.680516114638882,583.9984445000823,584.2014915001528,621.7802464501347,622.0359087402085,[8],8,5.46685500012245
32,32,32,0,1.4625226050002311,340.58,232.8716143159689,21.880003694024914,1233.714321500031,1456.2976884999443,1460.2578728499338,1460.6924602604795,"[8, 24]",32,21.04736999990564
64,64,64,0,2.2119045159997768,658.68,297.78862298776846,28.9343412145764,1705.9225629062807,1464.3212225000752,2198.1429042002674,2201.1446730201897,"[5, 27, 32]",64,100.57226200024161
128,128,128,0,4.0318415510000705,1293.68,320.8657839440917,31.747279346394574,2473.572593867267,2112.9228290005813,3981.3493772495804,3998.2385913801136,"[3, 29, 32]",128,451.66799100024946
256,256,256,0,7.872738816999117,2634.92,334.689116614739,32.517273334056895,4594.588813570304,4243.711230500139,7572.699295750226,7748.787032950031,"[2, 30, 32]",256,2402.9622190000737
