concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
1,64,64,0,6.706400177965406,64.0,9.543122733754963,9.543122733754963,104.6224477540818,100.33392100012861,135.45243045373354,171.5628706436837,[1]
2,64,64,0,2.6219323410186917,64.0,24.409478077963776,24.409478077963776,81.38421144940367,76.12426351988688,128.2738816255004,144.93344878952485,[2]
8,64,64,0,1.3634898110176437,64.0,46.93837789094548,46.93837789094548,158.0233618606144,163.82630102452822,220.27529911429139,228.80464958725497,"[1, 2, 4, 6, 7, 8]"
32,64,64,0,0.705881870992016,64.0,90.66672857040109,90.66672857040109,321.68683756481187,331.0817265009973,353.24854579230305,359.0742793411482,"[4, 28]"
64,64,64,0,0.8651515580131672,64.0,73.97547794628828,73.97547794628828,676.3835093443049,600.3953930339776,840.6522074394161,853.4499279374722,"[4, 28, 32]"
128,128,128,0,1.5119302340317518,128.0,84.65999099619295,84.65999099619295,1024.0972037790925,937.606635998236,1418.4809077851241,1456.801848951145,"[2, 30, 32]"
256,256,256,0,5.266533611051273,256.0,48.60882297661799,48.60882297661799,2963.37787610355,2903.4834435151424,4922.754862491274,5060.620583151467,"[1, 4, 5, 6, 7, 8, 10, 11, 12, 15, 16, 18, 32]"
512,512,512,0,6.12420379096875,512.0,83.60270452708268,83.60270452708268,3003.9066425592864,2755.367531994125,5378.986843526945,5971.744711213977,"[3, 29, 32]"
