concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
1,32,32,0,6.0039094149833545,133.3900625,22.217201040227522,5.329860560544236,187.4720226860518,182.61274401447736,341.19204147136765,435.1257844880457,[1]
2,32,32,0,5.211895441985689,154.020125,29.5516528898975,6.139800837564052,324.8045307191205,306.3884044822771,647.8162932267876,782.5121339067118,"[1, 2]"
8,32,32,0,3.3134701609960757,107.654,32.489805179847366,9.657548867251712,742.66033612912,647.3648375249468,1217.1687030029716,1217.8572004835587,"[2, 4, 6]"
32,32,32,0,1.5606840589898638,140.377,89.94581522852071,20.503829596819013,1395.353447745947,1522.9597860015929,1546.933377746609,1555.229077282711,"[5, 27]"
64,64,64,0,2.404716180986725,281.0350625,116.86828770981329,26.61436742765167,1893.952978715788,1627.7678494807333,2367.914412304526,2377.496008959133,"[4, 28, 32]"
128,128,128,0,4.499383719987236,597.5315625,132.80297918260126,28.44834047636264,3173.814517619121,2897.056141489884,4342.6121148630045,4404.607643753989,"[2, 30, 32]"
256,256,256,0,6.083193878992461,1115.4776875,183.37039878872855,42.08315649515357,3977.6061192355883,3920.9109365183394,5680.117857744335,5921.233436654436,"[1, 11, 23, 29, 32]"
