concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
32,32,32,0,0.6742566070170142,140.377,208.1952160929403,47.45967583702522,521.2917011212994,557.0269149611704,645.6673717009835,663.1230143655557,"[2, 4, 5, 21]"
64,64,64,0,0.7886386590544134,281.0350625,356.35466163548733,81.15250154834752,629.6965917617854,634.9557875073515,731.4518468745518,742.0697167061735,"[4, 25, 35]"
128,128,128,0,1.3687260469887406,597.5315625,436.5603794963912,93.51761828570868,851.0007844306529,850.9613254864234,1201.8595042754896,1231.53297153709,"[3, 5, 15, 17, 22, 24, 25]"
256,256,256,0,5.477800428052433,1115.4776875,203.6360583323761,46.73408667628619,3037.153313779072,2957.5946435215883,5012.65441373107,5229.8330272577,"[1, 2, 3, 4, 5, 6, 7, 12, 15, 33]"
