concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,32,32,0,3.9251186060137115,133.3900625,33.983702376695526,8.152619885415053,122.50392030910007,118.16481096320786,184.41355816903524,189.55308168719057,[1],1,53.158080962020904
2,32,32,0,2.3556245009531267,154.020125,65.38398838086493,13.584508051708683,145.89923847233877,144.94662202196196,206.34409120248165,339.43237144616455,[1],2,57.73854098515585
8,32,32,0,0.8656297369743697,107.654,124.36495120452118,36.96730672845113,194.86016425253183,155.5509390309453,428.24665164225735,461.1111042188714,"[1, 2, 3, 4, 5, 6]",8,73.36109399329871
32,32,32,0,0.5905610449844971,140.377,237.70108305007665,54.18576161053771,375.2771634790406,459.13623899105005,534.7897048544837,577.5629996421048,"[1, 2, 9, 18]",32,118.6786790494807
64,64,64,0,0.7074863350135274,281.0350625,397.2303754737913,90.4611111658804,472.8343489841791,441.6331539978273,638.7829232116928,690.92994010658,"[2, 7, 15, 18, 22]",64,245.19795004744083
128,128,128,0,1.553350957983639,597.5315625,384.6726069397986,82.40249850951467,991.1916745872986,1113.6650659900624,1448.321495714481,1479.1501949372469,"[1, 10, 12, 18, 19, 24, 32]",128,1191.4522050064988
256,256,256,0,2.9870805090176873,1115.4776875,373.4340886134432,85.70241050656735,1833.3851730828883,1991.5568555006757,2809.1725224949187,2896.24229700421,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 15, 25, 64]",256,2901.623506040778
