concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
1,64,64,0,5.0387475049938075,64.0,12.701569176977177,12.701569176977177,78.57167051224678,75.85574800032191,97.51370904268695,119.6776588668581,[1]
2,64,64,0,2.7498533920152113,64.0,23.273968054383452,23.273968054383452,85.12308301033045,84.47023798362352,108.82182790664955,117.40450137876903,[1]
8,64,64,0,1.2075583270052448,64.0,52.99951030830996,52.99951030830996,141.5319970492419,133.65607100422494,211.21680112846659,216.32341565797105,"[1, 2, 6, 7]"
32,64,64,0,0.6387420059763826,64.0,100.19694869162306,100.19694869162306,297.1070633166164,300.9229104791302,346.60677124920767,348.6200896825176,"[1, 30, 31]"
64,64,64,0,0.4541825819760561,64.0,140.9124932126393,140.9124932126393,339.61247032220854,305.327597016003,426.1844701250084,439.60578897502273,"[2, 30, 32]"
128,128,128,0,1.241035318991635,128.0,103.13969154721757,103.13969154721757,846.1990858477293,843.9516840153374,1158.6267465347191,1199.8290809307946,"[1, 18, 21, 24, 32]"
256,256,256,0,5.1769198019756,256.0,49.4502541650937,49.4502541650937,2970.062769528795,2951.669728005072,4973.321246478008,5102.6010729779955,"[1, 2, 3, 4, 5, 6, 7, 12, 32]"
512,512,512,0,8.117354687012266,512.0,63.07473551934325,63.07473551934325,3342.722347773247,2888.9117634971626,7501.121139116003,7734.696359829395,"[1, 2, 3, 4, 6, 16, 27, 32]"
