concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,32,32,0,4.0592400539899245,133.3900625,32.86084605143953,7.8832489762576206,126.69587984419195,125.63366800895892,197.82259533531033,207.95042680227198,[1],1,53.29815996810794
2,32,32,0,2.2658731199917383,154.020125,67.97385239318325,14.122591295013322,140.75418043648824,126.37356351478957,240.73461929510813,336.0773101588713,"[1, 2]",2,56.78802402690053
8,32,32,0,0.8679154069977812,107.654,124.03743398494044,36.86995269584125,197.77617059116892,133.40972902369685,450.15790119068697,502.594647720689,"[1, 2, 3, 4, 5]",8,72.46113201836124
32,32,32,0,0.6378013989888132,140.377,220.0951584969198,50.17235780720085,411.0750314684992,518.396101979306,585.5622754694195,625.3408996766666,"[2, 10, 18]",32,111.92939401371405
64,64,64,0,0.7667413949966431,281.0350625,366.5317463409295,83.47012489169207,484.28728712224256,421.44995549460873,712.4698207568143,736.2647730426397,"[1, 2, 6, 17, 18, 20]",64,237.4425869784318
128,128,128,0,1.4622951379860751,597.5315625,408.6258286565472,87.53362893368171,818.5512633194776,792.1429764828645,1321.1326545628253,1357.1232630871236,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 21]",128,1161.0958299716003
256,256,256,0,1.96961657499196,1115.4776875,566.3425570555798,129.9745357804196,1147.6872262428515,1205.1365530351177,1770.4072350315982,1819.6353415667545,"[1, 2, 29, 32, 64]",256,2325.6257390021347
