concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
1,32,32,0,5.620922063011676,133.3900625,23.730993065669715,5.6930161353019155,175.48607480239298,175.90145851136185,239.78565080906264,252.89950874575882,[1],1,52.98261996358633
2,32,32,0,3.238558730983641,154.020125,47.55823123615849,9.880938608231046,198.44554081828392,182.99854450742714,327.40024195227306,427.78514464385825,"[1, 2]",2,57.38432996440679
8,32,32,0,1.2187975140404887,107.654,88.32804363303264,26.2553866670727,271.5754456603463,264.5434889709577,438.23977472493425,461.8831140402472,"[2, 4, 6, 8]",8,73.2813460053876
32,32,32,0,0.6661745149758644,140.377,210.72106008901568,48.03546110009832,466.21448965561285,532.5372814841103,628.5109777149046,651.2414355005603,"[1, 11, 20]",32,143.91995401820168
64,64,64,0,0.9184495939989574,281.0350625,305.9885532491389,69.68264825654946,597.194925151598,530.391601001611,861.5848366142017,883.7253628420876,"[14, 25]",64,248.8946680095978
128,128,128,0,1.49007741198875,597.5315625,401.00706023219095,85.90157730742541,1034.3977210814046,1037.9938104888424,1365.2053988946136,1396.1093837203225,"[8, 23, 32, 57]",128,1184.7658709739335
256,256,256,0,2.234839056036435,1115.4776875,499.1311049836128,114.54963582658382,1313.5328683270018,1177.9150315269362,2002.8872622206109,2069.5142993616173,"[11, 53, 64]",256,4615.340704971459
