timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/11 11:31:19.303, 0, 68837 MiB, 50 %, 122.24 W
2026/09/11 11:31:20.303, 0, 68837 MiB, 0 %, 124.57 W
2026/09/11 11:31:21.304, 0, 68837 MiB, 0 %, 98.59 W
2026/09/11 11:31:22.304, 0, 68837 MiB, 0 %, 98.47 W
2026/09/11 11:31:23.304, 0, 68837 MiB, 34 %, 138.48 W
2026/09/11 11:31:24.305, 0, 68837 MiB, 0 %, 98.64 W
2026/09/11 11:31:25.305, 0, 68837 MiB, 0 %, 98.42 W
2026/09/11 11:31:26.305, 0, 68837 MiB, 0 %, 98.28 W
2026/09/11 11:31:27.306, 0, 68837 MiB, 0 %, 98.25 W
2026/09/11 11:31:28.306, 0, 68837 MiB, 0 %, 98.16 W
2026/09/11 11:31:29.306, 0, 68837 MiB, 0 %, 98.15 W
2026/09/11 11:31:30.307, 0, 68837 MiB, 0 %, 98.18 W
2026/09/11 11:31:31.307, 0, 68837 MiB, 16 %, 107.28 W
2026/09/11 11:31:32.307, 0, 68837 MiB, 23 %, 144.91 W
2026/09/11 11:31:33.308, 0, 68837 MiB, 0 %, 101.25 W
2026/09/11 11:31:34.308, 0, 68837 MiB, 0 %, 99.46 W
2026/09/11 11:31:35.308, 0, 68837 MiB, 25 %, 131.47 W
2026/09/11 11:31:36.309, 0, 68837 MiB, 31 %, 129.88 W
2026/09/11 11:31:37.309, 0, 68837 MiB, 39 %, 131.93 W
2026/09/11 11:31:38.309, 0, 68837 MiB, 0 %, 139.63 W
2026/09/11 11:31:39.309, 0, 68837 MiB, 24 %, 128.88 W
2026/09/11 11:31:40.310, 0, 68837 MiB, 18 %, 137.78 W
2026/09/11 11:31:41.310, 0, 68837 MiB, 23 %, 142.59 W
2026/09/11 11:31:42.310, 0, 68837 MiB, 26 %, 142.40 W
2026/09/11 11:31:43.311, 0, 68837 MiB, 40 %, 144.74 W
2026/09/11 11:31:44.311, 0, 68837 MiB, 20 %, 144.39 W
2026/09/11 11:31:45.311, 0, 68837 MiB, 20 %, 140.43 W
2026/09/11 11:31:46.312, 0, 68837 MiB, 31 %, 136.74 W
