timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 15:28:54.202, 0, 7381 MiB, 0 %, 157.60 W
2026/09/15 15:28:55.202, 0, 7075 MiB, 0 %, 123.41 W
2026/09/15 15:28:56.202, 0, 7001 MiB, 0 %, 116.91 W
2026/09/15 15:28:57.202, 0, 6945 MiB, 51 %, 126.94 W
2026/09/15 15:28:58.202, 0, 6945 MiB, 0 %, 112.18 W
2026/09/15 15:28:59.202, 0, 6949 MiB, 0 %, 158.75 W
2026/09/15 15:29:00.202, 0, 6947 MiB, 44 %, 162.82 W
2026/09/15 15:29:01.203, 0, 6957 MiB, 19 %, 114.01 W
2026/09/15 15:29:02.203, 0, 6957 MiB, 53 %, 208.48 W
2026/09/15 15:29:03.203, 0, 6955 MiB, 7 %, 110.98 W
2026/09/15 15:29:04.203, 0, 6955 MiB, 0 %, 157.07 W
2026/09/15 15:29:05.203, 0, 6963 MiB, 52 %, 169.88 W
2026/09/15 15:29:06.203, 0, 6963 MiB, 34 %, 208.37 W
2026/09/15 15:29:07.203, 0, 6963 MiB, 0 %, 167.76 W
2026/09/15 15:29:08.204, 0, 6959 MiB, 52 %, 141.55 W
2026/09/15 15:29:09.204, 0, 6963 MiB, 53 %, 190.95 W
2026/09/15 15:29:10.204, 0, 6959 MiB, 53 %, 114.81 W
2026/09/15 15:29:11.204, 0, 6965 MiB, 31 %, 140.66 W
2026/09/15 15:29:12.204, 0, 6965 MiB, 53 %, 215.14 W
2026/09/15 15:29:13.204, 0, 6965 MiB, 40 %, 198.97 W
2026/09/15 15:29:14.204, 0, 6969 MiB, 15 %, 113.55 W
2026/09/15 15:29:15.204, 0, 6971 MiB, 34 %, 197.56 W
2026/09/15 15:29:16.205, 0, 6969 MiB, 52 %, 167.80 W
2026/09/15 15:29:17.205, 0, 6969 MiB, 0 %, 137.63 W
2026/09/15 15:29:18.205, 0, 6973 MiB, 50 %, 161.97 W
2026/09/15 15:29:19.205, 0, 6973 MiB, 53 %, 206.13 W
2026/09/15 15:29:20.205, 0, 6977 MiB, 53 %, 218.45 W
