runtime,batch_size,mean_latency_ms,p50_latency_ms,audio_seconds,rtfx,encoded_shape,valid_encoded_frames
eager,1,24.089454911882058,24.058185517787933,1.0,41.511939712124935,"[1, 1024, 13]",13
eager,2,24.700408591888845,24.691580998478457,2.0,80.97032049327163,"[2, 1024, 13]",26
eager,8,24.906944908434525,24.868176522431895,8.0,321.1955552722513,"[8, 1024, 13]",104
eager,32,26.61913899355568,26.34430048055947,32.0,1202.142563955468,"[32, 1024, 13]",416
eager,64,25.75905789854005,25.791065505472943,64.0,2484.562915774468,"[64, 1024, 13]",832
eager,128,33.40221682447009,33.44035253394395,128.0,3832.0809864999333,"[128, 1024, 13]",1664
eager,256,58.06949910474941,58.05718098417856,256.0,4408.510559703832,"[256, 1024, 13]",3328
