runtime,batch_size,mean_latency_ms,p50_latency_ms,audio_seconds,rtfx,encoded_shape,valid_encoded_frames
eager,1,13.884482806315646,13.883069506846368,1.2,86.42741805651954,"[1, 1024, 16]",16
eager,2,14.566205808660015,14.576372515875846,3.6990625,253.948251767856,"[2, 1024, 32]",48
eager,8,15.128433803329244,15.130643005250022,35.3780625,2338.514545518553,"[8, 1024, 113]",448
eager,32,31.826529995305464,31.81644348660484,141.5710625,4448.209167662397,"[32, 1024, 113]",1792
eager,64,64.68881440232508,64.7377175046131,280.6381875,4338.279965290463,"[64, 1024, 113]",3552
eager,128,129.9611927010119,129.52164298621938,569.0583125,4378.6787476564095,"[128, 1024, 113]",7201
eager,256,243.2240556983743,243.12073501641862,1144.4296875,4705.248764206218,"[256, 1024, 113]",14479
