concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
64,64,64,0,0.5281254529836588,64.0,121.18332801123351,121.18332801123351,486.73649278589437,492.95641848584637,515.876199156628,517.2273508866783,"[1, 31, 32]"
128,128,128,0,1.3252481609815732,128.0,96.5856839259404,96.5856839259404,782.8647308197105,723.280877515208,1211.9912218884565,1238.5955087438924,"[2, 7, 8, 9, 11, 13, 15, 17, 23]"
256,256,256,0,3.262115816003643,256.0,78.47667417082107,78.47667417082107,1660.3789962593964,1549.0294390183408,3000.500708236359,3156.817854379187,"[2, 3, 4, 5, 6, 7, 8, 12, 13, 17]"
512,512,512,0,7.780102150049061,512.0,65.80890457804226,65.80890457804226,3236.495081984458,2525.1602599746548,7193.38123324851,7312.4054309219355,"[1, 2, 3, 4, 8, 11, 14, 17, 32, 64]"
