concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes
1,64,64,0,3.721005924977362,64.0,17.199650118909542,17.199650118909542,57.99922509049793,58.55747647001408,71.45980974601116,77.28839577932376,[1]
2,64,64,0,2.211347491014749,64.0,28.94162959916875,28.94162959916875,68.42992737711029,63.83837101748213,84.69080574286636,99.34588356991298,[2]
8,64,64,0,1.1951443789876066,64.0,53.55001548366372,53.55001548366372,144.46384851999028,145.3525465040002,185.92610425548628,201.38339977012947,"[2, 6]"
32,64,64,0,0.5298577900393866,64.0,120.78712666514275,120.78712666514275,242.50418811061536,231.86443801387213,312.285783252446,317.5563728023553,"[4, 28]"
64,64,64,0,0.5443988059996627,64.0,117.56087503255775,117.56087503255775,444.79569854956935,423.8369344966486,521.4499415305909,526.0544133197982,"[4, 28, 32]"
128,128,128,0,1.3905483680428006,128.0,92.05001634007182,92.05001634007182,951.5965330592735,897.6168024819344,1311.7191857978469,1346.0008107422618,"[2, 30, 32]"
256,256,256,0,5.279955801961478,256.0,48.48525434718549,48.48525434718549,3428.107127932435,3665.4200385091826,4990.96269151778,5138.739036917104,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 32]"
512,512,512,0,6.956008490000386,512.0,73.60543057646147,73.60543057646147,4086.6177007761735,4255.217190016992,6308.60569292563,6511.8536251736805,"[2, 3, 4, 5, 6, 7, 8, 10, 14, 16, 17, 22, 32]"
