concurrency,requests,valid,failed,wall_seconds,audio_seconds,rtfx,requests_per_second,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,observed_batch_sizes,preconnected_streams,preconnect_ms_untimed
128,128,128,0,1.475369543011766,128.0,86.757924891621,86.757924891621,909.3644381064223,851.4803065045271,1386.9029904570198,1430.9106602601241,"[8, 9, 11, 12, 14, 19, 25]",128,560.9669589903206
256,256,256,0,1.9966852130019106,256.0,128.2124985616123,128.2124985616123,1194.9306667652309,1195.918162498856,1661.6120202234015,1864.081285925931,"[4, 8, 20, 32, 64]",256,2492.097840004135
512,512,512,0,7.21719962899806,512.0,70.941643063721,70.941643063721,4374.473104714639,5000.02373199095,6611.831324998639,6807.821124852635,"[6, 7, 8, 9, 10, 15, 18, 26, 64]",256,5071.372420003172
